Parameter,orgGateway/Web,config_checkout_start,Send,orgGateway/Web,orgAuth,POST 127.0.0.1 /namespaces/prod/auth,200
Receive,orgAuth/JWT,orgAuth,POST /*/auth,200,Send,orgAuth/JWT,orgUser,GET 127.0.0.1 /namespaces/prod/users/profile,200
Receive,orgUser/Profile,orgUser,GET /*/profile,200,Send,orgUser/Profile,orgOrder,POST 127.0.0.1 /namespaces/prod/orders/draft,200
Receive,orgOrder/Cart,orgOrder,POST /*/draft,200,Send,orgOrder/Cart,orgDiscount,POST 127.0.0.1 /namespaces/prod/discounts/apply,200
Receive,orgDiscount/Engine,orgDiscount,POST /*/apply,200,Send,orgDiscount/Engine,orgInventory,POST 127.0.0.1 /namespaces/prod/inventory/check,200
Receive,orgInventory/Stock,orgInventory,POST /*/check,200,Send,orgInventory/Stock,orgPayment,POST 127.0.0.1 /namespaces/prod/payments/charge,200
Receive,orgPayment/Gateway,orgPayment,POST /*/charge,200,Send,orgPayment/Gateway,orgFraud,POST 127.0.0.1 /namespaces/prod/fraud/verify,200
Receive,orgFraud/Risk,orgFraud,POST /*/verify,200,Send,orgFraud/Risk,orgShipping,POST 127.0.0.1 /namespaces/prod/shipping/schedule,200
Receive,orgShipping/Carrier,orgShipping,POST /*/schedule,200,Send,orgShipping/Carrier,orgNotification,POST 127.0.0.1 /namespaces/prod/notifications/email,200
Receive,orgNotification/Mailer,orgNotification,POST /*/email,200,Send,orgNotification/Mailer,orgAudit,POST 127.0.0.1 /namespaces/prod/audit/log,201
Parameter,orgSensor/EdgeNode,config_telemetry_start,Send,orgSensor/EdgeNode,orgIngest,POST 127.0.0.1 /namespaces/edge/telemetry/push,200
Receive,orgIngest/Collector,orgIngest,POST /*/push,200,Send,orgIngest/Collector,orgSanitizer,POST 127.0.0.1 /namespaces/edge/filter/clean,200
Receive,orgSanitizer/Filter,orgSanitizer,POST /*/clean,200,Send,orgSanitizer/Filter,orgStream,POST 127.0.0.1 /namespaces/core/stream/publish,200
Receive,orgStream/Kafka,orgStream,POST /*/publish,200,Send,orgStream/Kafka,orgProcessor,POST 127.0.0.1 /namespaces/core/process/aggregate,200
Receive,orgProcessor/Flink,orgProcessor,POST /*/aggregate,200,Send,orgProcessor/Flink,orgStorage,POST 127.0.0.1 /namespaces/core/db/write,200
Receive,orgStorage/Cassandra,orgStorage,POST /*/write,200,Send,orgStorage/Cassandra,orgIndexer,POST 127.0.0.1 /namespaces/core/search/index,200
Receive,orgIndexer/Elastic,orgIndexer,POST /*/index,200,Send,orgIndexer/Elastic,orgAlert,POST 127.0.0.1 /namespaces/core/alerts/evaluate,200
Receive,orgAlert/RuleEngine,orgAlert,POST /*/evaluate,200,Send,orgAlert/RuleEngine,orgPager,POST 127.0.0.1 /namespaces/core/pager/trigger,200
Receive,orgPager/Ops,orgPager,POST /*/trigger,200,Send,orgPager/Ops,orgDashboard,POST 127.0.0.1 /namespaces/core/metrics/update,200
Receive,orgDashboard/Grafana,orgDashboard,POST /*/update,200,Send,orgDashboard/Grafana,orgArchiver,POST 127.0.0.1 /namespaces/cold/s3/archive,201
Parameter,orgClient/App,config_ai_inference_start,Send,orgClient/App,orgAPIGateway,POST 127.0.0.1 /namespaces/ai/v1/predict,200
Receive,orgAPIGateway/Router,orgAPIGateway,POST /*/predict,200,Send,orgAPIGateway/Router,orgAuthService,POST 127.0.0.1 /namespaces/ai/v1/token/validate,200
Receive,orgAuthService/Validator,orgAuthService,POST /*/validate,200,Send,orgAuthService/Validator,orgFeatureStore,GET 127.0.0.1 /namespaces/ai/v1/features/fetch,200
Receive,orgFeatureStore/Redis,orgFeatureStore,GET /*/fetch,200,Send,orgFeatureStore/Redis,orgModelServer,POST 127.0.0.1 /namespaces/ai/v1/model/infer,200
Receive,orgModelServer/Triton,orgModelServer,POST /*/infer,200,Send,orgModelServer/Triton,orgGPUCluster,POST 127.0.0.1 /namespaces/ai/v1/gpu/compute,200
Receive,orgGPUCluster/Cuda,orgGPUCluster,POST /*/compute,200,Send,orgGPUCluster/Cuda,orgPostProcess,POST 127.0.0.1 /namespaces/ai/v1/results/normalize,200
Receive,orgPostProcess/Format,orgPostProcess,POST /*/normalize,200,Send,orgPostProcess/Format,orgSafetyCheck,POST 127.0.0.1 /namespaces/ai/v1/safety/filter,200
Receive,orgSafetyCheck/Guard,orgSafetyCheck,POST /*/filter,200,Send,orgSafetyCheck/Guard,orgCacheWriter,POST 127.0.0.1 /namespaces/ai/v1/cache/put,200
Receive,orgCacheWriter/Memcached,orgCacheWriter,POST /*/put,200,Send,orgCacheWriter/Memcached,orgMetrics,POST 127.0.0.1 /namespaces/ai/v1/metrics/record,200
Receive,orgMetrics/Prometheus,orgMetrics,POST /*/record,200,Send,orgMetrics/Prometheus,orgTraceLog,POST 127.0.0.1 /namespaces/ai/v1/trace/save,201
Parameter,orgCLI/Kubectl,config_k8s_deploy_start,Send,orgCLI/Kubectl,orgK8sAPI,POST 127.0.0.1 /namespaces/k8s/v1/deployments,200
Receive,orgK8sAPI/Server,orgK8sAPI,POST /*/deployments,200,Send,orgK8sAPI/Server,orgK8sAuth,POST 127.0.0.1 /namespaces/k8s/v1/rbac/authorize,200
Receive,orgK8sAuth/RBAC,orgK8sAuth,POST /*/authorize,200,Send,orgK8sAuth/RBAC,orgEtcd,POST 127.0.0.1 /namespaces/k8s/v1/kv/put,200
Receive,orgEtcd/Cluster,orgEtcd,POST /*/put,200,Send,orgEtcd/Cluster,orgScheduler,POST 127.0.0.1 /namespaces/k8s/v1/pods/schedule,200
Receive,orgScheduler/Core,orgScheduler,POST /*/schedule,200,Send,orgScheduler/Core,orgKubelet,POST 127.0.0.1 /namespaces/k8s/v1/pods/create,200
Receive,orgKubelet/Agent,orgKubelet,POST /*/create,200,Send,orgKubelet/Agent,orgContainerd,POST 127.0.0.1 /namespaces/k8s/v1/containers/start,200
Receive,orgContainerd/Runtime,orgContainerd,POST /*/start,200,Send,orgContainerd/Runtime,orgCNI,POST 127.0.0.1 /namespaces/k8s/v1/network/attach,200
Receive,orgCNI/Cilium,orgCNI,POST /*/attach,200,Send,orgCNI/Cilium,orgCSI,POST 127.0.0.1 /namespaces/k8s/v1/storage/mount,200
Receive,orgCSI/Driver,orgCSI,POST /*/mount,200,Send,orgCSI/Driver,orgDNS,POST 127.0.0.1 /namespaces/k8s/v1/dns/register,200
Receive,orgDNS/CoreDNS,orgDNS,POST /*/register,200,Send,orgDNS/CoreDNS,orgIngressController,POST 127.0.0.1 /namespaces/k8s/v1/ingress/route,201
Parameter,orgPlayer/VideoUI,config_media_stream_start,Send,orgPlayer/VideoUI,orgCDN,GET 127.0.0.1 /namespaces/media/v1/chunk/request,200
Receive,orgCDN/Edge,orgCDN,GET /*/request,200,Send,orgCDN/Edge,orgMediaOrigin,GET 127.0.0.1 /namespaces/media/v1/chunk/fetch,200
